📡  电信广电,#genre#
热播剧场,http://xdnas.teop.cn:8189/udp/239.93.0.56:9020
热门剧场,http://xdnas.teop.cn:8189/udp/239.93.42.88:5140
健康养生,http://xdnas.teop.cn:8189/udp/239.93.42.84:5140
谍战剧场,http://xdnas.teop.cn:8189/udp/239.93.42.91:5140
卡酷动画,http://xdnas.teop.cn:8189/udp/239.93.42.1:5140
金鹰卡通,http://xdnas.teop.cn:8189/udp/239.93.0.5:5140
优漫卡通,http://xdnas.teop.cn:8189/udp/239.93.0.251:5140
宝宝动画,http://xdnas.teop.cn:8189/udp/239.93.42.89:5140
少儿动画,http://xdnas.teop.cn:8189/udp/239.93.0.193:9000
青春动漫,http://xdnas.teop.cn:8189/udp/239.93.0.146:5140
热门综艺,http://xdnas.teop.cn:8189/udp/239.93.0.151:5140
音乐现场,http://xdnas.teop.cn:8189/udp/239.93.0.198:9044
戏曲精选,http://xdnas.teop.cn:8189/udp/239.94.1.37:5140
戏曲,http://xdnas.teop.cn:8189/udp/239.93.0.217:9208
魅力时尚,http://xdnas.teop.cn:8189/udp/239.93.0.190:9012
生活时尚,http://xdnas.teop.cn:8189/udp/239.93.0.106:5140
爱生活,http://xdnas.teop.cn:8189/udp/239.93.0.206:8028
财富天下,http://xdnas.teop.cn:8189/udp/239.94.1.67:5140
百变课堂,http://xdnas.teop.cn:8189/udp/239.94.1.43:5140
爱体育,http://xdnas.teop.cn:8189/udp/239.93.0.135:9008
电竞天堂,http://xdnas.teop.cn:8189/udp/239.93.1.135:5140
游戏风云,http://xdnas.teop.cn:8189/udp/239.94.1.46:5140
足球,http://xdnas.teop.cn:8189/udp/239.93.0.197:9040
红色影院,http://xdnas.teop.cn:8189/udp/239.93.0.202:9068
经典剧场,http://xdnas.teop.cn:8189/udp/239.94.1.49:5140
家庭理财,http://xdnas.teop.cn:8189/udp/239.93.0.111:5140
墨宝,http://xdnas.teop.cn:8189/udp/239.93.0.215:9132
军事,http://xdnas.teop.cn:8189/udp/239.94.1.52:5140
解密,http://xdnas.teop.cn:8189/udp/239.94.1.53:5140
地理,http://xdnas.teop.cn:8189/udp/239.94.1.54:5140
导视,http://xdnas.teop.cn:8189/udp/239.94.1.55:5140
收视指南,http://xdnas.teop.cn:8189/udp/239.93.0.195:8012
蓉城先锋,http://xdnas.teop.cn:8189/udp/239.93.0.91:2101
东方财经,http://xdnas.teop.cn:8189/udp/239.94.1.59:5140
4K视界,http://xdnas.teop.cn:8189/udp/239.93.0.14:5140
爱浪漫,http://xdnas.teop.cn:8189/udp/239.93.42.21:5140
爱喜剧,http://xdnas.teop.cn:8189/udp/239.93.42.9:5140
爱奇谈,http://xdnas.teop.cn:8189/udp/239.93.42.22:5140
爱科幻,http://xdnas.teop.cn:8189/udp/239.93.42.10:5140
爱院线,http://xdnas.teop.cn:8189/udp/239.93.42.11:5140
都市剧场,http://xdnas.teop.cn:8189/udp/239.93.42.30:5140
爱谍战,http://xdnas.teop.cn:8189/udp/239.93.42.14:5140
爱历史,http://xdnas.teop.cn:8189/udp/239.93.42.13:5140
爱悬疑,http://xdnas.teop.cn:8189/udp/239.93.42.12:5140
爱旅行,http://xdnas.teop.cn:8189/udp/239.94.1.137:5140
少儿天地,http://xdnas.teop.cn:8189/udp/239.93.42.34:5140
爱幼教,http://xdnas.teop.cn:8189/udp/239.93.42.17:5140
爱玩具,http://xdnas.teop.cn:8189/udp/239.93.42.18:5140
爱动漫,http://xdnas.teop.cn:8189/udp/239.93.42.23:5140
