996k  183.30.200.213:10250
995k  183.30.200.96:10250
995k  183.30.200.91:10250
995k  183.30.200.134:10250
995k  183.30.200.111:10250
994k  183.30.200.123:10250
993k  183.30.200.147:10250
976k  183.30.200.225:10250
976k  183.30.200.224:10250
976k  183.30.200.168:10250
958k  183.30.200.218:10250
955k  183.30.200.146:10250
