📡  四川频道,#genre#
游戏风云,http://220.166.248.4:4022/udp/239.93.0.136:5140
汽车频道,http://220.166.248.4:4022/udp/239.93.0.117:1292
足球,http://220.166.248.4:4022/udp/239.93.0.197:9040
高网,http://220.166.248.4:4022/udp/239.93.0.202:9068
台球,http://220.166.248.4:4022/udp/239.93.0.203:9072
纪实人文,http://220.166.248.4:4022/udp/239.93.1.154:5140
墨宝,http://220.166.248.4:4022/udp/239.93.0.215:9132
军事,http://220.166.248.4:4022/udp/239.93.0.204:9076
解密,http://220.166.248.4:4022/udp/239.93.0.199:9048
地理,http://220.166.248.4:4022/udp/239.93.0.200:9052
传奇,http://220.166.248.4:4022/udp/239.93.0.235:1282
资讯新干线,http://220.166.248.4:4022/udp/239.93.0.236:1283
星空精选,http://220.166.248.4:4022/udp/239.93.1.171:5140
百姓健康,http://220.166.248.4:4022/udp/239.93.42.35:5140
爱怀旧,http://220.166.248.4:4022/udp/239.93.42.21:5140
爱喜剧,http://220.166.248.4:4022/udp/239.93.42.9:5140
爱奇谈,http://220.166.248.4:4022/udp/239.93.42.22:5140
爱科幻,http://220.166.248.4:4022/udp/239.93.42.10:5140
爱院线,http://220.166.248.4:4022/udp/239.93.42.11:5140
都市剧场,http://220.166.248.4:4022/udp/239.93.42.30:5140
爱谍战,http://220.166.248.4:4022/udp/239.93.42.14:5140
爱经典,http://220.166.248.4:4022/udp/239.93.42.13:5140
爱悬疑,http://220.166.248.4:4022/udp/239.93.42.12:5140
爱青春,http://220.166.248.4:4022/udp/239.93.42.16:5140
爱都市,http://220.166.248.4:4022/udp/239.93.42.15:5140
少儿天地,http://220.166.248.4:4022/udp/239.93.42.34:5140
爱幼教,http://220.166.248.4:4022/udp/239.93.42.17:5140
爱玩具,http://220.166.248.4:4022/udp/239.93.42.18:5140
爱动漫,http://220.166.248.4:4022/udp/239.93.42.23:5140
求索频道,http://220.166.248.4:4022/udp/239.93.42.24:5140
爱电竞,http://220.166.248.4:4022/udp/239.93.42.19:5140
爱赛车,http://220.166.248.4:4022/udp/239.93.42.20:5140
爱宠宠物,http://220.166.248.4:4022/udp/239.93.42.32:5140
生活时尚,http://220.166.248.4:4022/udp/239.93.42.29:5140
环球旅游,http://220.166.248.4:4022/udp/239.93.42.31:5140
来钓鱼吧,http://220.166.248.4:4022/udp/239.93.42.8:5140
麻辣体育,http://220.166.248.4:4022/udp/239.93.42.2:5140
绚影4K,http://220.166.248.4:4022/udp/239.93.42.33:5140
先锋乒羽,http://220.166.248.4:4022/udp/239.93.42.56:5140
天元围棋,http://220.166.248.4:4022/udp/239.93.42.55:5140
快乐垂钓,http://220.166.248.4:4022/udp/239.93.1.151:5140
茶频道,http://220.166.248.4:4022/udp/239.93.0.114:5140
热血剧场,http://220.166.248.4:4022/udp/239.93.1.198:5140
乐龄学堂,http://220.166.248.4:4022/udp/239.93.1.179:5140
